firstname;secondname;age;INN;SNILS;level;language;fee
Ivan;Petrov;35;548;255-588;Junior;C++;40000
Egor;Petrosyan;20;874;558-896;Junior;C++;20000
Arnold;Hennie;22;224;145-582;Middle;C#;25000
Rogers;Marvina;22;254;458-487;Senior;Python;25000
Cook;Faustine;55;241;554-447;Leader;Java;120000
Gena;Miller;23;127;320-256;Junior;JS;18000
David;Simpson;33;200;203-100;Middle;Python;26000
Fox;Laughing;64;777;785-865;Leader;C++;150000
Robert;Anderson;40;547;547-921;Junior;JS;28000
Nikita;Anderson;21;214;444-854;Middle;C#;27000
Perry;Henderson;31;211;114-778;Middle;Rust;60000
Wood;Ramirez;22;547;784-847;Leader;Java;41000
Reed;Nees;22;555;547-210;Middle;Rust;32000
Lewis;Hamilton;25;478;747-547;Middle;Python;28500
Max;Verstappen;41;115;124-321;Leader;C#;125000
Sebastian;Fettel;33;254;478-874;Senior;JS;62000
Lance;Stroll;26;124;999-874;Senior;Delphi;33000
George;Russel;22;333;312-214;Junior;Delphi;22000
Truck;Tucker;25;555;123-558;Middle;Delphi;28000
